GATE_SU_DS: -266.8198><-345.757><-535.7886><-493.7262><2><><48><35
GATE_SU_HI: 415.3539><410.945><324.0804><663.9436><1><><48><35
GATE_LF_SU: -1875.82><176.2431><-1587.789><342.2738><1><><48><35
GATE_OE_SU: -864.0262><-843.2678><-430.2114><-810.8548><0><><48><35
SU_B13: 329.0976><334.8371><202.3116><567.9238><1><Outskirts><48><78
SU_A33: 332.0982><194.8374><202.3116><436.9237><1><Outskirts><48><37
SU_B04: 569.0978><186.8375><364.312><376.9237><1><Outskirts><106><35
SU_A34: 334.0982><193.8374><202.3116><311.9241><1><Outskirts><48><35
SU_A37: 809.0988><179.8377><638.3115><373.9237><1><Outskirts><54><35
SU_S04: 799.1808><251.9819><637.7772><494.2524><1><><48><35
SU_A63: 967.0988><170.8377><813.3115><382.9237><1><Outskirts><50><36
SU_B12: 1209.097><161.8377><983.3115><382.9241><1><Outskirts><110><35
SU_A17: 1464.097><163.8377><1252.311><362.9237><1><Outskirts><54><37
SU_A40: 1604.097><115.8377><1411.311><213.9239><0><Outskirts><50><36
SU_B07: 1367.097><83.83784><1156.311><98.92387><0><Outskirts><104><33
SU_A02: 1131.099><93.83784><986.3115><98.92387><0><Outskirts><54><35
SU_A53: 968.0988><105.8378><816.3115><94.92396><0><Outskirts><50><38
SU_A39: 809.0988><109.8377><647.3115><192.9239><0><Outskirts><54><37
SU_A38: 804.0988><100.8378><651.3115><48.92407><0><Outskirts><54><35
SU_A25: 894.0988><-18.16249><815.3115><-61.07628><0><><54><35
SU_A24: 893.0988><-129.1628><835.3115><-208.0764><0><><54><35
SU_A23: 721.0981><-128.1628><696.3115><-208.0764><0><><54><35
SU_A22: 618.0977><-236.1628><627.3121><-365.0763><0><><48><35
SU_C04: 86.20071><-139.7779><104.17><-215.9133><1><><155><35
SU_A41: 400.2011><-135.7779><435.17><-210.9133><1><><54><35
SU_A42: 409.2011><-33.77757><446.17><-85.91345><1><><48><35
SU_A43: 561.2006><-128.7777><572.1702><-210.9133><1><><51><35
SU_A44: 554.2006><-135.7779><379.17><-366.9132><2><><48><35
SU_S01: 505.1209><-242.5201><507.3593><-366.219><0><><48><35
SU_A06: 635.0981><100.8378><480.3119><108.9239><0><Outskirts><54><35
