GATE_DS_SB: -1195.937><-349.4441><-766.2416><-484.0622><2><><48><35
GATE_SU_DS: -1172.937><174.1711><-1104.523><382.8351><1><><48><35
GATE_DS_GW: 1428.063><-77.44426><1328.758><-224.0625><2><><48><35
GATE_DS_CC: 526.8358><791.3018><618.4733><647.7952><0><><48><35
UG_S03: -1122.604><-430.9643><-642.8456><-623.2619><2><><48><35
UG_B02: -951.5185><80.28333><-1041.144><224.2695><1><><100><35
UG_A22: -723.5185><77.28336><-813.1431><224.2695><1><><48><35
UG_A06: -565.5179><76.28336><-682.1426><223.2695><1><Undergrowth><54><35
UG_A02: -396.5186><77.28336><-528.1434><218.2693><1><Undergrowth><54><35
UG_A20: -329.519><-14.71669><-478.1435><99.26901><1><Undergrowth><48><35
UG_S01r: -427.7691><-14.12709><-588.2416><99.64475><1><><48><35
UG_B03: -231.5193><13.28332><-364.1434><133.2692><1><Undergrowth><54><78
UG_A09: -389.5186><180.2832><-522.1434><372.2693><2><Undergrowth><54><38
UG_A19: -321.5186><287.2833><-373.1436><357.2696><2><Undergrowth><54><35
UG_B04: -121.5191><182.2836><-183.1427><360.2693><2><Undergrowth><110><35
UG_A08: 105.4809><180.2836><92.8569><359.2693><2><Undergrowth><54><37
UG_S04: 202.531><81.28615><99.76283><234.8069><2><><48><35
UG_B07: 333.4814><183.2836><276.8566><358.2696><2><Undergrowth><110><38
UG_A16: -92.51885><-21.71669><-210.1427><123.2692><1><Undergrowth><48><35
UG_A07: 203.4809><-24.71662><-76.14314><89.26927><1><Undergrowth><147><38
UG_A24: 417.481><83.28336><251.8566><63.26916><1><Undergrowth><48><35
UG_A11: 561.4821><88.28328><370.8565><59.26916><1><Undergrowth><54><35
UG_C04: 560.4815><60.28333><614.8569><-57.73105><2><Undergrowth><48><120
UG_A25: 342.4816><-110.7167><375.8566><-153.7307><0><Undergrowth><54><74
UG_B08: 423.4814><-105.7167><499.8566><-40.73116><2><Undergrowth><48><78
UG_C01: 688.4815><-60.71653><740.8569><-387.7307><2><Undergrowth><54><121
UG_S02l: 785.231><-93.12712><931.7584><-208.3552><2><><48><35
UG_A21: 841.4804><40.28342><926.8574><-53.73104><1><><54><35
UG_C03: 984.4804><-187.7168><895.8574><-357.7307><2><><152><35
