HR_C01: -193.2701><-1896.903><-470.3216><-1675.228><1><Rubicon><152><35
HR_A02: 123.7305><-1855.903><-122.3214><-1664.228><2><Rubicon><48><35
HR_A06: -278.8855><-1769.21><-590.1685><-1543.689><2><Rubicon><216><52
HR_A07: 78.11539><-1759.21><-141.1668><-1536.689><2><Rubicon><66><49
HR_AP01: 244.3502><-1735.33><12.36153><-1631.689><1><Rubicon><56><112
HR_S02: 413.7308><-1646.903><147.6787><-1508.228><2><><48><35
HR_LCA: 1.790447><-1500.708><-114.5641><-1340.893><1><Rubicon><126><92
HR_A03: -213.2701><-1334.902><-203.3216><-1078.226><2><Rubicon><48><35
HR_A05: 407.1152><-1500.214><154.8323><-1383.689><1><Rubicon><126><112
HR_COL: 511.8905><-1143.14><312.302><-1071.827><2><Rubicon><48><35
HR_A04: -405.8857><-1434.214><-323.167><-1371.689><1><Rubicon><60><122
HR_US1: -419.271><-1156.903><-324.3212><-1055.226><1><Rubicon><48><35
HR_S1R: -620.2067><-1150.705><-440.564><-1057.894><1><><48><35
HR_A7R: -229.1096><-947.1385><-322.6977><-916.8266><2><Rubicon><106><92
HR_BR1: 160.6599><-1120.407><-68.73596><-1074.288><2><Rubicon><166><167
HR_IN1: 161.7299><-816.9015><119.6782><-661.2251><1><Rubicon><101><39
HR_BI01: -218.3347><-791.5381><-166.9013><-645.4764><1><Rubicon><126><42
HR_SHR: -513.2667><-781.9026><-277.3216><-646.2251><1><><48><35
HR_BI02: -213.3344><-635.5381><-87.90113><-521.4764><1><Rubicon><61><49
HR_TP1: -207.2691><-483.9012><-91.32143><-354.2253><2><Rubicon><66><39
HR_B03: 51.09415><-428.5367><67.0032><-336.8096><2><Rubicon><126><86
HR_CT1: -187.1096><-277.1382><-68.69757><-197.8262><1><Rubicon><48><35
HR_B02: -185.9052><-121.5379><-81.99662><-39.8096><2><Rubicon><61><72
HR_S11: -188.1001><-179.2324><-190.2181><-189.4571><1><><48><35
HR_TER: 586.7308><-497.9012><344.6784><-336.2253><2><Rubicon><216><35
HR_B01: -977.6498><-492.3268><-1040.637><-358.687><2><Rubicon><466><44
HR_hrce: -1955.337><-289.4077><-1417.734><-287.2881><2><Rubicon><182><94
HR_gbfi: 1409.664><-441.407><795.2643><-329.2878><2><Rubicon><324><62
HR_A16: -2037.681><-112.6955><-1344.359><-42.02118><1><Rubicon><48><35
HR_A17: -2181.182><-32.96015><-1462.833><-22.77019><1><Rubicon><48><35
HR_S04: -1835.897><-153.6769><-1106.402><-42.68281><1><><48><35
HR_A18: -1894.182><-33.96013><-1224.833><-21.77019><1><Rubicon><48><35
HR_C02: -2017.742><-30.56305><-1453.921><104.8768><2><Rubicon><168><35
HR_L07: -2037.769><207.0257><-1344.463><238.0152><2><Rubicon><48><112
HR_L08: -2039.7><554.8424><-1457.885><380.0155><2><Rubicon><48><72
HR_S06: -1949.171><741.8856><-1459.452><609.2297><2><><48><35
HR_B05: -2113.796><813.3557><-1585.775><576.0708><1><Rubicon><54><78
HR_C14: -1961.169><815.4688><-1341.37><544.0825><1><Rubicon><49><121
HR_A14: -2108.385><995.6717><-1459.911><737.9204><2><Rubicon><48><35
HR_A25: -2089.422><1073.535><-1436.437><863.6292><1><Rubicon><54><35
HR_L02: -484.4038><704.6148><-313.473><393.3197><1><Rubicon><69><191
HR_E04: -982.0419><922.3192><-865.9965><719.8773><1><Rubicon><263><35
HR_L03: -1438.832><907.0288><-977.593><702.5385><2><Rubicon><48><72
HR_L04: -1586.399><917.3236><-1094.578><744.7589><1><Rubicon><48><35
