GATE_DS_SB: 100.9764><52.19186><318.4053><120.3316><2><><48><35
GATE_SB_SL: 3753.262><91.16721><2896.447><84.05286><1><><48><35
GATE_LF_SB: -1559.741><857.1658><-831.5554><853.0538><1><><48><35
GATE_SB_VS: 1179.294><-515.5414><1171.915><-387.319><2><><48><35
SB_F03: -1728.275><551.5779><-971.418><447.4816><1><><48><232
SB_A10: -1550.009><613.1088><-834.2952><703.0758><1><><54><35
SB_A09: -1986.888><368.4826><-1146.156><471.9341><1><><48><35
SB_H03: -1756.299><123.7742><-1146.272><215.2862><1><Subterranean><204><78
SB_S06: -2265.155><83.65404><-1267.989><357.3649><2><><48><25
SB_H02: -1133.299><8.774431><-693.2711><123.2867><1><Subterranean><204><78
SB_A04: -1527.299><-77.22578><-832.2711><124.2867><1><Subterranean><54><35
SB_A13: -1684.717><-76.90749><-942.0944><122.8558><1><Subterranean><48><35
SB_A01: -1408.299><-110.2258><-757.2716><-27.71319><2><Subterranean><52><35
SB_A11: -1370.237><-221.524><-749.2045><-159.0179><1><Subterranean><48><35
SB_B01: -1070.299><-196.2256><-618.2711><-161.7132><1><Subterranean><105><35
SB_S07: -1164.004><-289.5325><-598.09><-294.1266><1><><48><35
SB_A12: -769.2372><-218.5241><-301.2037><-174.0177><1><Subterranean><48><35
SB_C01: -1100.299><-103.2254><-634.2711><-24.71319><2><Subterranean><148><35
SB_B02: -703.2986><-98.22536><-318.2706><-32.71319><2><Subterranean><113><35
SB_C05: -568.2986><-516.2261><-170.2708><-328.7135><2><><48><121
SB_A03: -744.2992><-39.226><-261.2706><79.28687><1><Subterranean><49><35
SB_E04: -356.2988><53.77424><-228.2703><212.2862><1><Subterranean><254><38
SB_C06: -318.299><-185.2256><-23.27161><-72.71346><2><><48><121
SB_S03: -319.0233><-189.8076><79.40591><31.33162><2><><48><35
SB_F02: -284.2988><-489.2257><-39.27112><-354.7135><2><Filtration System><104><121
SB_E07: 157.1006><-602.0715><217.3629><-486.1441><2><Filtration System><151><80
SB_B04: 294.7827><-667.7852><542.6321><-490.5174><2><Filtration System><48><74
SB_S10: 405.3186><-697.8896><545.7521><-623.1301><1><><48><35
SB_C10: 276.4009><-433.5267><413.7316><-259.0718><2><Filtration System><151><35
